"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORTDATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"201279583","27-FEB-12","27-FEB-12","27-FEB-12","5702 E COLFAX AVE","3162682","1694930","2","222","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","montclair"
"2012355975","06-AUG-12","06-AUG-12","06-AUG-12","3054 LARIMER ST","3146378","1703160","2","211","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","five-points"
"2012433617","18-SEP-12","18-SEP-12","18-SEP-12","9206 E HAMPDEN AVE","3174408","1662984","3","323","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","hampden-south"
"2012378437","18-AUG-12","18-AUG-12","19-AUG-12","5403 N BILLINGS ST","3189349","1714135","5","512","5707","CRIMINAL TRESPASSING","All Other Crimes","NON-INDUSTRY","montbello"
"2012541015","21-NOV-12","21-NOV-12","21-NOV-12","82 S FEDERAL BLVD","3133690","1685664","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2012541366","20-NOV-12","20-NOV-12","21-NOV-12","1201 20TH ST","3142928","1699409","6","612","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","five-points"
"20129183","06-JAN-12","06-JAN-12","07-JAN-12","1730 E 17TH AVE","3150030","1695956","6","622","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","city-park-west"
"201278451","25-FEB-12","26-FEB-12","26-FEB-12","1568 S FEDERAL BLVD","3133861","1675958","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","ruby-hill"
"2012328377","22-JUL-12","22-JUL-12","22-JUL-12","80 S PENNSYLVANIA ST","3145914","1685772","3","311","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","speer"
"2012237881","03-JUN-12","03-JUN-12","03-JUN-12","1660 E 40TH AVE","3149731","1706807","2","211","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","cole"
"2012417600","08-SEP-12","08-SEP-12","08-SEP-12","1499 N BROADWAY ST","3144130","1694794","6","611","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","civic-center"
"2012438961","21-SEP-12","21-SEP-12","21-SEP-12","1432 E 22ND AVE","3149025","1698231","6","622","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","city-park-west"
"2012437272","19-SEP-12","20-SEP-12","20-SEP-12","1853 S LINCOLN ST","3144484","1674083","3","313","2399","THEFT - OTHER","Larceny","NON-INDUSTRY","platt-park"
"2012437293","19-SEP-12","20-SEP-12","20-SEP-12","4773 N FOX ST","3142062","1710572","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","globeville"
"2012536019","17-NOV-12","17-NOV-12","17-NOV-12","543 N BRYANT ST","3135294","1689181","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2012231785","30-MAY-12","30-MAY-12","30-MAY-12","2568 S BROADWAY ST","3144350","1669345","3","313","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","rosedale"
"2012304606","06-JUL-12","09-JUL-12","09-JUL-12","2266 S BROADWAY ST","3144295","1671303","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","rosedale"
"2012399023","29-AUG-12","30-AUG-12","30-AUG-12","1172 W VIRGINIA AVE","3140410","1682901","4","412","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","athmar-park"
"2013134008","24-MAR-13","24-MAR-13","24-MAR-13","2700 BLOCK WELTON ST","3146938","1700389","2","211","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","five-points"
"201228069","21-JAN-12","21-JAN-12","21-JAN-12","5526 N CRYSTAL WAY","3191252","1715041","5","512","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","montbello"
"2012483613","16-OCT-12","16-OCT-12","17-OCT-12","2668 W COLLEGE AVE","3135418","1668596","4","422","2399","THEFT - OTHER","Larceny","NON-INDUSTRY","college-view-south-platte"
